用户ID,服务ID,时间,行为,内容,转推,喜欢,回复,URL
Nick Craver,Twitter,上午9:26 - 2016年8月28日,喜欢,"Adam Lear 的 Twitter: “@Nick_Craver On the upside, the store is designed such that by the time you get to the checkout, they may no longer be your loved ones.”",0,4,1,https://twitter.com/aalear/status/769934188627779584
Nick Craver,Twitter,上午6:54 - 2016年8月15日,喜欢,"David Robinson 的 Twitter: “Good morning, new followers expecting political analysis and not arguments about graphing software&#10;&#10;You&#39;re in for some disappointment”",0,169,12,https://twitter.com/drob/status/765184786478563328
Nick Craver,Twitter,下午12:49 - 2016年8月5日,喜欢,ERSATZ DEVLOPER 的 Twitter: “@E_Craver @Nick_Craver I&#39;d watch the marshmallow bachelor.”,0,2,2,https://twitter.com/jasonpunyon/status/761650354819772416
Nick Craver,Twitter,下午5:47 - 2016年7月5日,喜欢,"David Fowler 的 Twitter: “@ben_a_adams @bradwilson this. Maybe it’s time to write a blog post about, async/await, async io, tasks, iocp, and the thread pool.”",0,41,6,https://twitter.com/davidfowl/status/750491244762017792
Nick Craver,Twitter,下午2:25 - 2016年9月8日,喜欢,Elise Craver 的 Twitter: “@Nick_Craver Starting with this one.”,0,13,3,https://twitter.com/e_craver/status/773995684789821440
Nick Craver,Twitter,下午3:39 - 2016年8月13日,喜欢,Jin Yang 的 Twitter: “@Nick_Craver https://t.co/OZ7AMt09lm”,0,2,2,https://twitter.com/jzy/status/764592247396528128
Nick Craver,Twitter,下午5:18 - 2016年8月2日,喜欢,"Roberta Arcoverde 的 Twitter: “@Nick_Craver me too, my friend, me too”",0,1,1,https://twitter.com/rla4/status/760630789201625088
Nick Craver,Twitter,上午11:57 - 2016年7月3日,喜欢,Geoff Dalgas 的 Twitter: “@Nick_Craver no laptops where I was so I spent time teaching my kids to compile code by hand https://t.co/Eb8i4rrwpd”,0,6,6,https://twitter.com/superdalgas/status/749678520570224642
Nick Craver,Twitter,上午8:55 - 2016年8月25日,喜欢,"Peter Grace 的 Twitter: “@OdedCoster @RadcliffeBrine @JonHMChan Oh, nothing much, just telling them what they should not do (cc @Nick_Craver) https://t.co/Nr8ZRL1E0k”",0,3,3,https://twitter.com/petergrace/status/768839171062444032
Nick Craver,Twitter,上午5:10 - 2016年9月7日,喜欢,Jin Yang 的 Twitter: “@Nick_Craver mmm bacon”,0,2,2,https://twitter.com/jzy/status/773493632158445568
